binx,biny,lastServCellRsrp_mean,failedPCellCarrierFreq_mean,counts,TopFreq
113.28537448429951,34.855311801673686,41.666666666666664,,3,
113.28570240693709,34.85530563590098,60.0,,1,
113.28635825191341,34.855293301705856,47.333333333333336,,3,
113.28668617425214,34.85528713328345,28.0,,1,
113.28701409649119,34.8552809639778,14.0,,1,
113.28734201863061,34.85527479378893,46.0,,3,
113.28734950438148,34.85554510728184,36.0,,2,
113.28800535050304,34.85553276413095,36.0,,1,
113.28931704154952,34.855508067230325,25.0,,1,
113.28997288647423,34.85549571348059,39.0,,2,
113.29063622755945,34.85575366905987,47.0,,1,
113.29134636650873,34.82220390098626,41.0,,2,
113.29293919190583,34.85598070273167,35.0,,1,
113.29338268716805,34.83649962632063,24.0,,1,
113.29361302497044,34.8329793700291,29.0,,1,
113.29824116555565,35.010848834836764,50.0,,1,
113.29919982137417,34.856944257340864,29.0,,1,
113.30051905381293,34.85718974975618,43.0,,1,
113.3011824384588,34.85744764586416,32.0,,1,
113.30183829331546,34.857435227529244,51.0,,1,
113.30216622059332,34.857429017036885,50.0,1650.0,2,1650.0
113.30646701090399,34.858699749012615,12.0,,1,
113.30664305819815,34.7826987286394,37.0,,1,
113.30679494213082,34.85869352584338,37.333333333333336,,3,
113.3068024924702,34.85896383549151,32.333333333333336,1650.0,3,
113.31299062689773,34.751746243594894,19.0,,1,
113.31367369547142,34.951868293513066,23.0,,2,
113.31757742473177,34.927182956103415,41.0,,1,
113.31937772285109,34.86278130570356,47.0,1650.0,1,1650.0
113.32135587781364,34.92143134960397,31.0,,1,
113.32301552440602,34.863793637718615,42.0,,1,
113.33053537640647,34.83957948134169,30.0,,1,
113.33183166094095,34.804125328866185,44.0,,1,
113.33325059910683,34.86603163958614,45.0,,1,
113.33343216768843,34.814371849002754,56.0,,2,
113.33507091281521,34.814340395529975,36.0,,1,
113.33999477922585,34.8145162080955,35.0,,2,
113.34564313589549,34.81711191650919,21.0,,1,
113.35931633353032,34.81360200517951,55.0,,1,
113.36079065863522,34.86522935157245,35.0,,1,
113.36209470271875,34.864933564827176,63.0,,2,
113.36470276054335,34.864341950423196,49.0,,1,
113.36503070052729,34.86433556932823,48.75,,4,
113.36535089697298,34.864058889244546,51.0,,1,
113.36556656661732,34.81429194331324,37.0,,1,
113.3656788356796,34.86405250644668,52.0,,1,
113.36686947358815,34.88269026248229,53.0,,1,
113.36720527231958,34.814260057143514,44.0,,1,
113.3675330131511,34.8142536772644,42.0,,1,
113.36763871492342,34.86374389343706,48.5,,2,
113.36828683577815,34.86346081716106,53.0,,1,
113.36861477141399,34.86345442654085,42.0,,3,
113.3688439754469,34.814228148930674,42.0,,1,
113.36894270694657,34.86344803503728,23.666666666666668,,3,
113.36911033583198,34.777712065491855,44.0,,1,
113.36926288639712,34.86317134527082,40.0,,1,
113.3692706423759,34.86344164265041,43.0,,1,
113.37015493609358,34.81420260648945,45.0,,3,
113.37023892976353,34.86288186580069,52.0,,1,
113.37048267599748,34.814196218674844,45.0,,1,
113.37056686263757,34.8628754700084,41.0,,4,
113.37065798132457,34.7974248640849,36.0,,1,
113.37089479540828,34.8628690733328,47.5,,4,
113.37122272807564,34.86286267577391,38.0,,1,
113.37219876004598,34.862573180966365,56.0,,1,
113.37297278243422,34.809550002612134,36.0,,1,
113.374224817884,34.75029672962435,30.0,,1,
113.37447581519352,34.82764080871975,35.0,,1,
113.37553476240421,34.750271170042815,41.0,,1,
113.37682942753452,34.795411277892434,19.0,,1,
113.37774244264132,34.86138306025896,47.0,,2,
113.37775022584567,34.86165335605496,45.0,,2,
113.37991327932848,34.85701340380763,40.0,,1,
113.38003012584016,34.861067835839386,46.0,,2,
113.38035804918243,34.8610614139336,41.333333333333336,,3,
